participant_id	session_id	task	run	desc	regressors	space	meanFD	relMeansRMSMotion	relMaxRMSMotion	meanDVInit	meanDVFinal	nVolCensored	nVolsRemoved	motionDVCorrInit	motionDVCorrFinal	coregDice	coregJaccard	coregCrossCorr	coregCoverage	normDice	normJaccard	normCrossCorr	normCoverage	medianFD	motionExclude	normCrossCorrExclude	fmriExclude
colornest154	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0653321445054945	0.2989468638822558	0.7351694370456379	21.572733519337017	21.572733519337017	0	2	0.5857702957382268	0.5857702957382268	0.9202317572883988	0.8522493261863663	0.9108152270347386	0.9285730783634722	0.9345904963150168	0.8772124643928026	0.9122562754486532	0.9415846715516216	0.0534849	0	0	0
colornest154	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0663838587362637	0.2251485701266863	0.3877000048349238	23.404928646408845	23.404928646408845	0	2	0.6924464500910569	0.6924464500910569	0.9205494874035296	0.852794525234208	0.9111707582135168	0.9294639660670772	0.9362343186281396	0.8801132947067319	0.9144707553339306	0.9427919548740916	0.0463781	0	0	0
colornest005	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0785950362087912	0.2716943590415299	0.9044079661200248	21.755598436464087	21.755598436464087	0	2	0.661590749601784	0.661590749601784	0.8830696541098773	0.7906219553969829	0.865113424749517	0.920705507666464	0.9020957712441866	0.8216525154170101	0.8683664330670603	0.9372814672159094	0.050416	0	0	0
colornest005	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0982789902747253	0.3455598254785433	1.3349359820246065	23.067366508287293	23.067366508287293	0	2	0.8037205517372613	0.8037205517372613	0.8814869620363347	0.7880882315338461	0.863247166889719	0.9181274620465188	0.9004279924187969	0.8188895190225188	0.8660818514409936	0.9340525589645164	0.0574193	0	0	0
colornest039	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.7687933895604396	2.726264120948537	8.209450228193663	36.50776822651933	36.50776822651933	0	2	0.7392588052780753	0.7392588052780753	0.8918665616944658	0.8048367920908822	0.8777709393775185	0.9216332732076432	0.9090709131214976	0.8332997296117942	0.8777352244033958	0.9364113038057884	0.179279	0	0	0
colornest039	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.5403811593406593	0.5179086748520836	4.213207984213098	33.17119850276243	33.17119850276243	0	2	0.8308945338651084	0.8308945338651084	0.91895893680902	0.8500684831494453	0.9090185937744192	0.9629501006668711	0.9335129660870743	0.8753158138847961	0.9110206018824926	0.9698239369366854	0.132635	0	0	0
colornest097	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0397734208791208	0.0433904406194014	0.1013750308795854	22.262011044198893	22.262011044198893	0	2	0.3979903833266145	0.3979903833266145	0.9215442918464886	0.8545036062948934	0.9121763527053334	0.9377944460489012	0.938388313520244	0.8839280176275061	0.917286965018828	0.951499608973738	0.0359484	0	0	0
colornest097	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0550295219780219	0.3432005059614215	0.6155353119636761	20.52022991712707	20.52022991712707	0	2	0.1787371132876515	0.1787371132876515	0.919194082614096	0.8504709937537248	0.9095847910848848	0.9391937130607746	0.9344839674492798	0.8770247832050305	0.9120205557503996	0.950445561975063	0.0465814	0	0	0
colornest143	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.092846712087912	0.255138372927225	0.5684737988331212	24.25774332044199	24.25774332044199	0	2	0.7064005414020427	0.7064005414020427	0.9229253466965972	0.8568815020072867	0.9125325944402444	0.924604270906877	0.9348990689074204	0.8777563154962241	0.9128551633117272	0.9352193218809284	0.076197	0	0	0
colornest143	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.096586334065934	0.2932568847595995	0.6712336198469875	24.023661878453044	24.023661878453044	0	2	0.8309898490407677	0.8309898490407677	0.9254040228979952	0.8611646075519901	0.9153237245854344	0.929781016989784	0.9354979735134484	0.878812769010043	0.9135583593846858	0.9386222850491148	0.0549201	0	0	0
